"year_week","start_date","end_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2012-06",2012-02-06,2012-02-12,"Campania",15,40.83956555,14.25084984,66,983,81096,"12.12",87,"13.73",134,"9.68",672,"13.96",90,"7.04"
"2012-06",2012-02-06,2012-02-12,"Apulia",16,41.12559576,16.86736689,121,984,158196,"6.22",157,"19.79",228,"13.57",519,"5",80,"2.7"
"2012-06",2012-02-06,2012-02-12,"Basilicata",17,40.63947052,15.80514834,1,11,1511,"7.28",0,"0",0,"0",11,"9.38",0,"0"
"2012-06",2012-02-06,2012-02-12,"Calabria",18,38.90597598,16.59440194,13,131,17677,"7.41",32,"26.45",40,"14.95",56,"5.29",3,"0.93"
"2012-06",2012-02-06,2012-02-12,"Sicily",19,38.11569725,13.3623567,46,352,60753,"5.79",22,"17.27",56,"15.79",225,"5.25",49,"3.75"
"2012-06",2012-02-06,2012-02-12,"Sardinia",20,39.21531192,9.110616306,9,92,9266,"9.93",27,"19.78",40,"13.22",24,"7.04",1,"0.68"
"2012-07",2012-02-13,2012-02-19,"Piedmont",1,45.0732745,7.680687483,39,443,51949,"8.53",53,"23.51",67,"13.51",275,"8.41",48,"3.99"
"2012-07",2012-02-13,2012-02-19,"Aosta Valley",2,45.73750286,7.320149366,5,84,7009,"11.98",12,"31.01",9,"15.41",45,"10.53",18,"10.2"
"2012-07",2012-02-13,2012-02-19,"Lombardy",3,45.46679409,9.190347404,136,1213,191602,"6.33",210,"16.78",257,"10.68",636,"5.58",110,"2.68"
"2012-07",2012-02-13,2012-02-19,"AP Bolzano",21,46.49933453,11.35662422,10,132,16808,"7.85",24,"34.33",26,"10.12",76,"7.31",6,"1.91"
"2012-07",2012-02-13,2012-02-19,"AP Trento",22,46.06893511,11.12123097,14,236,18363,"12.85",60,"41.99",66,"18.43",93,"9.17",17,"5.3"
"2012-07",2012-02-13,2012-02-19,"Veneto",5,45.43490485,12.33845213,76,1068,98647,"10.83",201,"29.37",203,"15.33",556,"9.7",108,"5.08"
"2012-07",2012-02-13,2012-02-19,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,16,105,21459,"4.89",18,"10.2",24,"9.21",56,"4.63",7,"1.4"
"2012-07",2012-02-13,2012-02-19,"Liguria",7,44.41149315,8.9326992,39,321,47260,"6.79",52,"20.55",68,"14.97",172,"6.21",29,"2.32"
"2012-07",2012-02-13,2012-02-19,"Emilia Romagna",8,44.49436681,11.3417208,62,517,79964,"6.47",117,"18.07",128,"10.89",228,"5.16",44,"2.51"
"2012-07",2012-02-13,2012-02-19,"Tuscany",9,43.76923077,11.25588885,48,360,60233,"5.98",43,"16.47",59,"9.72",210,"5.73",48,"3.22"
"2012-07",2012-02-13,2012-02-19,"Umbria",10,43.10675841,12.38824698,11,92,12753,"7.21",27,"17.77",29,"9.26",31,"5.43",5,"2.09"
"2012-07",2012-02-13,2012-02-19,"Marche",11,43.61675973,13.5188753,13,119,15760,"7.55",31,"14.01",29,"6.77",52,"7.71",7,"2.78"
"2012-07",2012-02-13,2012-02-19,"Lazio",12,41.89277044,12.48366722,69,733,88399,"8.29",115,"22.18",115,"11.19",454,"8.2",49,"2.79"
"2012-07",2012-02-13,2012-02-19,"Abruzzo",13,42.35122196,13.39843823,18,88,16089,"5.47",35,"14.36",25,"5.71",21,"3.15",7,"2.68"
"2012-07",2012-02-13,2012-02-19,"Molise",14,41.55774754,14.5916051,16,98,18649,"5.25",25,"13.06",30,"8.59",33,"3.6",10,"2.45"
"2012-07",2012-02-13,2012-02-19,"Campania",15,40.83956555,14.25084984,40,443,50214,"8.82",69,"15.78",94,"9.86",260,"8.91",20,"2.81"
"2012-07",2012-02-13,2012-02-19,"Apulia",16,41.12559576,16.86736689,119,730,152428,"4.79",110,"12.22",177,"9.81",380,"3.88",63,"2.29"
"2012-07",2012-02-13,2012-02-19,"Basilicata",17,40.63947052,15.80514834,1,5,1511,"3.31",0,"0",0,"0",2,"1.71",3,"9.23"
"2012-07",2012-02-13,2012-02-19,"Calabria",18,38.90597598,16.59440194,13,107,16993,"6.3",31,"17.22",46,"11.79",28,"3.27",2,"0.73"
"2012-07",2012-02-13,2012-02-19,"Sicily",19,38.11569725,13.3623567,47,341,62212,"5.48",27,"21.34",44,"13.8",222,"5.04",48,"3.51"
"2012-07",2012-02-13,2012-02-19,"Sardinia",20,39.21531192,9.110616306,7,77,6706,"11.48",16,"15.55",38,"16.7",17,"7.05",6,"6.06"
"2012-08",2012-02-20,2012-02-26,"Piedmont",1,45.0732745,7.680687483,32,306,41588,"7.36",22,"14.7",36,"10.61",216,"8.02",32,"3.28"
"2012-08",2012-02-20,2012-02-26,"Aosta Valley",2,45.73750286,7.320149366,7,55,8521,"6.45",13,"11.9",10,"7.19",27,"6.32",5,"2.83"
"2012-08",2012-02-20,2012-02-26,"Lombardy",3,45.46679409,9.190347404,133,860,186634,"4.61",170,"11.43",173,"6.83",438,"4.06",79,"2.04"
"2012-08",2012-02-20,2012-02-26,"AP Bolzano",21,46.49933453,11.35662422,11,145,18794,"7.72",17,"28.1",24,"10.18",98,"7.99",6,"1.69"
"2012-08",2012-02-20,2012-02-26,"AP Trento",22,46.06893511,11.12123097,14,172,18363,"9.37",41,"28.69",49,"13.68",70,"6.9",12,"3.74"
"2012-08",2012-02-20,2012-02-26,"Veneto",5,45.43490485,12.33845213,68,736,87334,"8.43",123,"20.83",117,"10.07",401,"7.84",95,"5.09"
"2012-08",2012-02-20,2012-02-26,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,16,124,21619,"5.74",30,"17.44",29,"10.23",55,"4.59",10,"1.97"
"2012-08",2012-02-20,2012-02-26,"Liguria",7,44.41149315,8.9326992,39,272,47642,"5.71",33,"13.03",52,"11.45",152,"5.4",35,"2.81"
